--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Oct  1 23:19:18 2023

{'pid': 3189, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 33425.38671875}
{'pid': 3194, 'username': 'ragnar20-03', 'name': 'cat', 'vms': 16.76171875}
{'pid': 3195, 'username': 'ragnar20-03', 'name': 'cat', 'vms': 16.76171875}
{'pid': 3199, 'username': 'ragnar20-03', 'name': 'chrome_crashpad_handler', 'vms': 32790.02734375}
{'pid': 3201, 'username': 'ragnar20-03', 'name': 'chrome_crashpad_handler', 'vms': 32781.0078125}
{'pid': 3207, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 33076.16015625}
{'pid': 3208, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 33076.15234375}
{'pid': 3235, 'username': 'ragnar20-03', 'name': 'nacl_helper', 'vms': 32781.05859375}
{'pid': 3256, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 33076.1796875}
{'pid': 3361, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 33528.23046875}
{'pid': 3362, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 33142.98046875}
{'pid': 3374, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 33117.71484375}
{'pid': 3757, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 1160128.8984375}
{'pid': 4709, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 1162234.17578125}
{'pid': 4714, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 1158043.33984375}
{'pid': 4735, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 1158074.19921875}
{'pid': 4750, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 33367.02734375}
{'pid': 4763, 'username': 'ragnar20-03', 'name': 'update-notifier', 'vms': 488.57421875}
{'pid': 4934, 'username': 'ragnar20-03', 'name': 'code', 'vms': 1149932.07421875}
{'pid': 4936, 'username': 'ragnar20-03', 'name': 'code', 'vms': 32978.14453125}
{'pid': 4937, 'username': 'ragnar20-03', 'name': 'code', 'vms': 32978.15625}
{'pid': 4950, 'username': 'ragnar20-03', 'name': 'chrome_crashpad_handler', 'vms': 32789.2109375}
{'pid': 4971, 'username': 'ragnar20-03', 'name': 'code', 'vms': 33026.70703125}
{'pid': 4981, 'username': 'ragnar20-03', 'name': 'code', 'vms': 1160075.2578125}
{'pid': 5018, 'username': 'ragnar20-03', 'name': 'code', 'vms': 33150.11328125}
{'pid': 5062, 'username': 'ragnar20-03', 'name': 'code', 'vms': 1149754.7734375}
{'pid': 5063, 'username': 'ragnar20-03', 'name': 'code', 'vms': 1149771.35546875}
{'pid': 5124, 'username': 'ragnar20-03', 'name': 'code', 'vms': 1149755.73828125}
{'pid': 5139, 'username': 'ragnar20-03', 'name': 'code', 'vms': 1149774.5078125}
{'pid': 5155, 'username': 'ragnar20-03', 'name': 'bash', 'vms': 11.7421875}
{'pid': 5251, 'username': 'ragnar20-03', 'name': 'code', 'vms': 1151745.92578125}
{'pid': 5309, 'username': 'ragnar20-03', 'name': 'code', 'vms': 1149689.9140625}
{'pid': 5352, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 1158056.1640625}
{'pid': 5387, 'username': 'root', 'name': 'kworker/u17:3+i915_flip', 'vms': 0.0}
{'pid': 5481, 'username': 'ragnar20-03', 'name': 'gnome-terminal-server', 'vms': 732.203125}
{'pid': 5501, 'username': 'ragnar20-03', 'name': 'bash', 'vms': 23.1796875}
{'pid': 5586, 'username': 'root', 'name': 'kworker/2:0', 'vms': 0.0}
{'pid': 5602, 'username': 'ragnar20-03', 'name': 'chrome', 'vms': 1158002.87890625}
{'pid': 5614, 'username': 'root', 'name': 'kworker/u17:0-rtw_tx_wq', 'vms': 0.0}
{'pid': 5626, 'username': 'root', 'name': 'kworker/u16:1-phy0', 'vms': 0.0}
{'pid': 5668, 'username': 'root', 'name': 'kworker/6:0-events', 'vms': 0.0}
{'pid': 5696, 'username': 'ragnar20-03', 'name': 'python3', 'vms': 39.984375}
